,Content,Type,ID,Flavour,BrewID,12,16,24,32,Other
2770,35.0,IBU,1736,American Porter,45,,Zombie Monkie,,,
3607,93.0,IBU,912,Extra Special / Strong Bitter (ESB),45,,Oasis,,,
4623,34.0,IBU,2575,Tripel,45,,,,,Wooden Rooster
689,22.0,IBU,103,American Brown Ale,45,,Tallgrass Ale,,,
1203,110.0,IBU,1017,American IPA,45,,Ethos IPA,,,
843,93.0,IBU,104,American Double / Imperial IPA,45,,Oasis (2010),,,
1088,60.0,IBU,101,American IPA,45,,Tallgrass IPA,,,
4104,25.0,IBU,417,Märzen / Oktoberfest,44,Oktoberfest Revolution,,,,
3931,31.0,IBU,418,Herbed / Spiced Beer,44,Fistmas Ale,,,,
2741,28.0,IBU,416,American Porter,44,Eugene Porter,,,,
2161,40.0,IBU,2576,American Pale Ale (APA),44,Fist City,,,,
1114,70.0,IBU,415,American IPA,44,Anti-Hero IPA,,,,
1475,100.0,IBU,2579,American IPA,43,Jah Mon,,,,
1478,60.0,IBU,2585,American IPA,40,,Galaxy IPA,,,
360,26.0,IBU,2588,American Amber / Red Lager,38,Cow Creek,,,,
1454,63.0,IBU,2458,American IPA,38,Chupahopra,,,,
1089,69.0,IBU,107,American IPA,37,Avery India Pale Ale,,,,
3760,42.0,IBU,146,German Pilsener,37,Avery Joe’s Premium American Pilsner,,,,
3387,45.0,IBU,2590,Czech Pilsener,36,Czech Yo Self,,,,
4001,23.0,IBU,1401,Kölsch,34,Ballast Point Pale Ale,,,,
1396,40.0,IBU,2105,American IPA,34,Even Keel,,,,
1204,70.0,IBU,1018,American IPA,34,Sculpin IPA,,,,
1257,75.0,IBU,1400,American IPA,34,Big Eye India Pale Ale,,,,
2162,35.0,IBU,2594,American Pale Ale (APA),33,,Surfrider,,,
3480,34.0,IBU,1562,English Brown Ale,33,,Grandma's Pecan,,,
892,101.0,IBU,1561,American Double / Imperial IPA,33,,Double Trunk,,,
1481,80.0,IBU,2596,American IPA,31,Heavy Lifting,,,,
4689,25.0,IBU,2073,Winter Warmer,30,,Winter Warmer (Vault Series),,,
916,99.0,IBU,2063,American Double / Imperial IPA,30,,Count Hopula (Vault Series),,,
1101,85.0,IBU,317,American IPA,30,Hop Shock IPA (2010),,,,
1947,45.0,IBU,285,American Pale Ale (APA),30,Devil’s Ale (2010),,,,
1988,45.0,IBU,764,American Pale Ale (APA),30,American Idiot Ale (2012),,,,
1998,45.0,IBU,850,American Pale Ale (APA),30,Devil’s Ale,,,,
1209,85.0,IBU,1071,American IPA,30,Hop Shock IPA,,,,
4612,35.0,IBU,1584,Smoked Beer,29,,Scruffy's Smoked Alt,,,
1388,70.0,IBU,2052,American IPA,29,,Dankosaurus,,,
937,90.0,IBU,2600,American Double / Imperial IPA,29,,Gone A-Rye,,,
2034,36.0,IBU,1182,American Pale Ale (APA),29,,Elliott's Phoned Home Pale Ale,,,
3446,22.0,IBU,2601,Dubbel,28,Deduction,,,,
3583,50.0,IBU,2218,English Strong Ale,27,,Ironman,,,
1483,45.0,IBU,2602,American IPA,27,,Citrafest,,,
1416,65.0,IBU,2219,American IPA,27,,Scarecrow,,,
3059,61.0,IBU,2432,Belgian IPA,26,,White Reaper,,,
574,23.0,IBU,2604,American Blonde Ale,26,,Blonde Czich,,,
3383,48.0,IBU,1967,Czech Pilsener,26,,General George Patton Pilsner,,,
1375,75.0,IBU,2000,American IPA,25,,Fistful of Hops Orange,,,
4548,23.0,IBU,2081,Scotch Ale / Wee Heavy,25,,Port Barrel Wee Mac ,,,
4539,30.0,IBU,584,Scotch Ale / Wee Heavy,25,,Wee Muckle (2011),,,
4363,75.0,IBU,1367,Russian Imperial Stout,25,,Bourbon Barrel Aged Timmie,,,
3612,55.0,IBU,1599,Extra Special / Strong Bitter (ESB),25,,Royal Brat,,,
16,29.0,IBU,2605,Altbier,25,,Tip Off,,,
1376,75.0,IBU,2001,American IPA,25,,Fistful Of Hops Red,,,
1373,75.0,IBU,1996,American IPA,25,,Fistful of Hops Green,,,
4544,30.0,IBU,1656,Scotch Ale / Wee Heavy,25,,Wee Muckle,,,
1374,75.0,IBU,1999,American IPA,25,,Fistful Of Hops Blue,,,
1259,77.0,IBU,1420,American IPA,25,,Grapefruit Jungle (GFJ),,,
3032,36.0,IBU,2083,Belgian Dark Ale,25,,Bourbon Barrel Batch 666: Sympathy for the Devil,,,
2051,50.0,IBU,1389,American Pale Ale (APA),25,,Osiris Pale Ale,,,
3431,24.0,IBU,698,Dortmunder / Export Lager,25,,Indians Victory Lager (2012),,,
3950,27.0,IBU,1128,Irish Dry Stout,25,,Ring of Dingle,,,
2785,23.0,IBU,2164,American Porter,25,,Cowbell,,,
855,91.0,IBU,651,American Double / Imperial IPA,25,,Isis,,,
4106,23.0,IBU,526,Märzen / Oktoberfest,25,,Sun King Oktoberfest (2011),,,
4108,23.0,IBU,874,Märzen / Oktoberfest,25,,Sun King Oktoberfest,,,
1133,77.0,IBU,532,American IPA,25,,Grapefruit Jungle (GFJ) (2011),,,
